skills,years_experience,education,has_certifications,job_role
"vpn, tcpip, subnetting, switching, hypothesis testing",8.1,High School,True,Network Engineer
"sql, business intelligence, reporting, tableau, data cleaning, switching, sketch",7.3,High School,False,Data Analyst
"pandas, python, machine learning, scrum, jest, agile",11.7,PhD,False,Data Scientist
"algorithms, databases, microservices, data structures, cloud computing, forecasting, data mining",0.3,Bachelor,True,Software Engineer
"project management, presentation skills, roadmapping, responsive design, pandas, docker",1.6,Master,True,Product Manager
"adobe xd, interaction design, accessibility, information architecture, html, prototyping, penetration testing",5.1,Bachelor,True,UX Designer
"networking, subnetting, wan, routing, dns, python, statistics, agile, prototyping",5.5,PhD,False,Network Engineer
"responsive design, html, webpack, javascript, cloud computing, python, python",6.6,Bachelor,False,Frontend Developer
"javascript, cloud computing, data structures, presentation skills",9.6,PhD,False,Software Engineer
"css, react, jest, data visualization, sql, tableau, security",4.8,Bachelor,True,Frontend Developer
"sql, scikit-learn, r, hypothesis testing, pytorch, product strategy, databases, nosql, javascript",8.3,Master,False,Data Scientist
"react, ui frameworks, html, vpn",0.4,Bachelor,True,Frontend Developer
"a/b testing, product strategy, analytics, project management, agile, stakeholder management, leadership, user flows, security compliance, sql",2.5,PhD,True,Product Manager
"accessibility, jest, browser compatibility, html, responsive design, figma, agile, microservices, information architecture",0.1,Master,False,Frontend Developer
"data structures, testing, algorithms, python, excel, roadmapping, networking",7.6,High School,False,Software Engineer
"jest, browser compatibility, ui frameworks, webpack, react, user research",0.2,Bachelor,False,Frontend Developer
"kubernetes, aws, networking, accessibility, data cleaning, accessibility",0.1,High School,True,Product Manager
"sql, data cleaning, data visualization, forecasting, firewall",4.6,PhD,True,Data Analyst
"firewall, penetration testing, security architecture, vulnerability assessment, security auditing, threat intelligence, prototyping, c#",8.2,High School,True,Cybersecurity Analyst
"html, css, design thinking, usability testing, visual design, prototyping, analytics, python, kubernetes",1.4,High School,False,UX Designer
"a/b testing, leadership, presentation skills, roadmapping, wan, a/b testing",0.6,Master,False,Product Manager
"sql, python, tableau, forecasting, power bi, data mining, python",13.7,Master,True,Data Analyst
"big data, sql, pandas, statistics, numpy, a/b testing, prototyping, accessibility, dhcp",9.2,Master,True,Data Scientist
"kubernetes, jenkins, python, ansible, javascript",4.6,Master,False,DevOps Engineer
"kubernetes, docker, python, php, network monitoring, c++",14.0,Master,False,DevOps Engineer
"presentation skills, analytics, scrum, communication, product strategy, roadmapping, project management, angular",2.0,PhD,False,Product Manager
"linux, security, docker, kubernetes, networking, python, monitoring, data visualization, presentation skills, data mining, sql",11.5,High School,False,DevOps Engineer
"debugging, testing, api development, git, data visualization, css, pytorch",5.1,High School,True,Software Engineer
"databases, c#, php, node.js, sql, troubleshooting",0.7,High School,True,Backend Developer
"ethical hacking, incident response, risk management, security, security compliance, threat intelligence, market research, statistics",9.6,High School,False,Cybersecurity Analyst
"sass, webpack, css, browser compatibility, typescript, ui frameworks, html, prototyping, competitive analysis",9.2,PhD,True,Frontend Developer
"java, sql, node.js, python, php, security, prototyping, visual design, data mining",5.3,High School,False,Backend Developer
"dhcp, tcpip, wan, routing, switching, dns, lan, webpack",7.9,High School,False,Network Engineer
"project management, roadmapping, product strategy, analytics, scikit-learn, r, html",9.7,PhD,True,Product Manager
"python, sql, data modeling, statistics, linux",7.2,Bachelor,False,Data Analyst
"firewall, threat intelligence, incident response, security auditing, typescript, python",10.7,Master,False,Cybersecurity Analyst
"jira, communication, project management, routing, aws, switching",12.8,Bachelor,False,Product Manager
"api development, microservices, git, python, debugging, authentication",1.7,PhD,False,Software Engineer
"api development, java, cloud computing, data structures, microservices, agile, network monitoring, nosql, presentation skills",9.9,Bachelor,True,Software Engineer
"ethical hacking, cryptography, risk management, security, firewall, sql, jest, angular, market research",11.4,Master,True,DevOps Engineer
"machine learning, sql, pytorch, a/b testing, data visualization, python, pandas, terraform, data structures, react",0.1,Master,False,Data Scientist
"wireframing, figma, user research, user flows, prototyping, information architecture, accessibility, statistics, accessibility",4.5,PhD,True,UX Designer
"r, statistics, forecasting, business intelligence, data cleaning, data modeling, dashboards, wan, vpn, testing",2.1,PhD,False,Data Analyst
"networking, linux, jenkins, monitoring, shell scripting, docker, python, databases",9.2,Bachelor,True,DevOps Engineer
"hypothesis testing, machine learning, big data, cloud computing, node.js, databases, product strategy",9.8,Bachelor,True,Data Scientist
"sketch, css, interaction design, html, user research, visual design, figma, sql",1.8,Master,False,UX Designer
"browser compatibility, react, javascript, networking, roadmapping",14.3,PhD,False,Frontend Developer
"routing, subnetting, dns, c++, c#, javascript",5.2,PhD,True,Network Engineer
"penetration testing, security compliance, cryptography, siem, authentication",0.2,Bachelor,False,Cybersecurity Analyst
"data mining, forecasting, business intelligence, data visualization, excel, security compliance, html, analytics",0.1,PhD,True,Data Analyst
"sql, python, microservices, nosql, graphql, ruby, c#, data cleaning, security",1.9,Master,False,Backend Developer
"statistics, big data, scikit-learn, a/b testing, numpy, sql, figma",11.9,High School,True,Data Scientist
"troubleshooting, lan, tcpip, routing, jest, siem, r",9.4,High School,True,Network Engineer
"threat intelligence, incident response, security auditing, firewall, vulnerability assessment, information architecture, golang, testing",1.6,Master,False,Cybersecurity Analyst
"aws, monitoring, ci/cd, docker, jenkins, linux, data structures, interaction design, javascript",7.4,Master,True,DevOps Engineer
"market research, user stories, competitive analysis, stakeholder management, project management, presentation skills, roadmapping, security compliance, penetration testing, data visualization, infrastructure as code",9.7,Master,True,Product Manager
"cloud computing, agile, microservices, databases, debugging, python, algorithms, roadmapping, dhcp, numpy, jenkins",3.1,Master,True,Software Engineer
"penetration testing, security auditing, incident response, forecasting, agile, communication, jenkins",1.6,High School,True,Cybersecurity Analyst
"network monitoring, dns, cisco, prototyping",11.7,Master,False,Network Engineer
"python, data visualization, data modeling, statistics, excel, r, a/b testing",12.9,Bachelor,True,Data Analyst
"azure, security, docker, python, monitoring, ansible, css, vulnerability assessment, angular, design thinking",1.2,High School,False,DevOps Engineer
"css, webpack, sass, figma, a/b testing, incident response",4.4,High School,False,Frontend Developer
"dns, network monitoring, wan, subnetting, vpn, docker, python",8.9,Bachelor,False,Network Engineer
"threat intelligence, vulnerability assessment, siem, firewall, incident response, penetration testing, aws, c#, power bi",0.7,PhD,False,Cybersecurity Analyst
"scrum, project management, presentation skills, python, c++",12.8,High School,True,Product Manager
"tableau, reporting, python, excel, numpy, python, python",0.3,High School,False,Data Analyst
"ethical hacking, cryptography, security auditing, risk management, vulnerability assessment, incident response, leadership, tcpip, r, css",14.1,Bachelor,False,Cybersecurity Analyst
"html, design thinking, interaction design, adobe xd, information architecture, statistics, infrastructure as code, pytorch, excel",9.5,PhD,True,UX Designer
"dashboards, statistics, data cleaning, power bi, business intelligence, sql, data visualization, pytorch",6.4,PhD,True,Data Analyst
"machine learning, scikit-learn, sql, data visualization, node.js, lan",0.5,Bachelor,False,Data Scientist
"c++, javascript, databases, agile, git, docker, node.js, accessibility",10.6,PhD,False,Software Engineer
"databases, debugging, java, testing, git, javascript, data visualization",0.7,PhD,True,Software Engineer
"angular, vue, accessibility, react, webpack, javascript, jest, threat intelligence",8.2,Master,False,Frontend Developer
"user stories, stakeholder management, project management, security, machine learning, vue, security",7.6,PhD,False,Product Manager
"machine learning, pandas, numpy, scikit-learn, statistics, accessibility, power bi, network security",1.9,High School,True,UX Designer
"user research, sketch, figma, user flows, information architecture, dashboards, vpn",6.7,Bachelor,False,UX Designer
"network security, wan, firewalls, routing, subnetting, switching, object-oriented programming, databases, business intelligence, kubernetes",5.6,Bachelor,True,Network Engineer
"excel, r, tableau, sql",1.5,Master,True,Data Analyst
"angular, react, javascript, vue, typescript, browser compatibility, git, communication, usability testing, azure",2.8,Bachelor,True,Frontend Developer
"redux, browser compatibility, react, algorithms",8.0,PhD,False,Frontend Developer
"sql, python, forecasting, r, business intelligence, linux, jenkins",8.7,PhD,False,Data Analyst
"statistics, data cleaning, tableau, sql, data modeling, data visualization, forecasting, python",2.8,High School,False,Data Analyst
"css, interaction design, wireframing, ansible, data cleaning, kubernetes, python",3.3,PhD,False,UX Designer
"vue, redux, browser compatibility, responsive design, html, javascript, cisco, golang",3.2,Bachelor,True,Frontend Developer
"databases, ruby, sql, golang, node.js, nosql, c#, usability testing, vpn, incident response, security",8.5,Master,True,Backend Developer
"security compliance, cryptography, siem, security auditing, aws, react, product strategy, wireframing",4.1,High School,True,Cybersecurity Analyst
"microservices, databases, java, graphql, aws, ci/cd, browser compatibility",1.0,PhD,True,Backend Developer
"ci/cd, security, infrastructure as code, golang, javascript, information architecture, statistics",8.9,Bachelor,False,DevOps Engineer
"c++, testing, cloud computing, object-oriented programming, databases, git, api development, python, deep learning",11.6,Master,False,Software Engineer
"adobe xd, visual design, prototyping, vue, dhcp",0.1,Bachelor,True,UX Designer
"rest apis, java, authentication, microservices, node.js, graphql, terraform, vpn, typescript",10.9,Bachelor,True,Backend Developer
"vue, sass, angular, ruby, big data, statistics, switching",2.2,Bachelor,False,Frontend Developer
"threat intelligence, incident response, security compliance, api development, a/b testing, react",6.9,Master,False,Cybersecurity Analyst
"adobe xd, html, usability testing, interaction design, prototyping, figma, deep learning, data mining, infrastructure as code, security architecture",3.9,High School,False,UX Designer
"accessibility, user research, usability testing, interaction design, data mining, pandas, dns, ui frameworks",0.8,High School,False,UX Designer
"firewalls, cisco, tcpip, prototyping",0.8,Master,False,Network Engineer
"jest, browser compatibility, react, html, webpack, css, infrastructure as code, graphql",0.2,Bachelor,False,Frontend Developer
"a/b testing, stakeholder management, market research, roadmapping, scrum, algorithms, ci/cd",0.5,High School,True,Product Manager
"html, typescript, angular, css, react, network security, golang",6.9,Master,False,Data Scientist
"sketch, information architecture, user flows, security architecture",8.7,PhD,False,DevOps Engineer
"sketch, html, interaction design, kubernetes, responsive design, java",8.6,PhD,True,UX Designer
"a/b testing, jira, project management, user stories, agile, stakeholder management, data visualization",3.4,Master,True,Product Manager
"security auditing, risk management, ethical hacking, security, incident response, security compliance, vulnerability assessment, css, numpy, figma",14.0,Bachelor,False,Cybersecurity Analyst
"siem, security architecture, security compliance, incident response, penetration testing, vue, leadership, tableau",2.7,High School,False,Cybersecurity Analyst
"shell scripting, azure, jenkins, ansible, ci/cd, python, scrum, sass, cloud computing, sql",3.7,Master,False,DevOps Engineer
"pandas, pytorch, sql, tensorflow, numpy, cryptography, security auditing, python",5.0,High School,False,Data Scientist
"incident response, security auditing, threat intelligence, vulnerability assessment, ethical hacking, security architecture, siem, object-oriented programming",10.6,High School,True,Cybersecurity Analyst
"cisco, network security, vpn, dhcp, databases, testing",4.2,PhD,True,Network Engineer
"sketch, adobe xd, wireframing, visual design, accessibility, information architecture, jira, a/b testing, browser compatibility, api development",9.6,PhD,True,UX Designer
"data cleaning, business intelligence, dashboards, excel, python, testing, lan, graphql",1.9,Master,True,Data Analyst
"incident response, vulnerability assessment, security, ethical hacking, siem, python, react, data modeling",12.5,High School,True,Cybersecurity Analyst
"tcpip, lan, network security, troubleshooting, firewalls, dhcp, cisco, roadmapping",1.8,High School,True,Network Engineer
"authentication, graphql, rest apis, caching, python, c#, java, big data, data modeling, kubernetes, machine learning",9.9,Bachelor,False,Backend Developer
"html, css, accessibility, user flows, prototyping, design thinking, visual design, security compliance, risk management",13.8,Master,True,UX Designer
"data visualization, pytorch, r, a/b testing, dhcp, linux",8.2,PhD,False,Data Scientist
"siem, threat intelligence, ethical hacking, competitive analysis, ui frameworks",1.3,High School,False,Cybersecurity Analyst
"javascript, vue, redux, typescript, sass, data visualization, python, switching",1.1,High School,True,Frontend Developer
"c#, microservices, rest apis, git, product strategy",8.8,Master,False,UX Designer
"network security, networking, troubleshooting, tcpip, php, user stories, machine learning",4.0,High School,True,Network Engineer
"security, penetration testing, security compliance, threat intelligence, adobe xd, excel",1.1,Master,False,Cybersecurity Analyst
"user flows, interaction design, wireframing, sketch, python, power bi",7.7,Master,False,Data Analyst
"monitoring, shell scripting, aws, docker, azure, ui frameworks, visual design",9.7,PhD,True,DevOps Engineer
"accessibility, wireframing, user flows, adobe xd, sketch, visual design, usability testing, market research",2.4,Bachelor,False,UX Designer
"ui frameworks, responsive design, javascript, networking",7.6,Master,True,Frontend Developer
"java, debugging, testing, javascript, microservices, agile, html, php",12.8,Master,False,Software Engineer
"security auditing, siem, risk management, security compliance, firewall, penetration testing, ethical hacking, responsive design",7.9,High School,False,Cybersecurity Analyst
"deep learning, r, sql, pytorch, html, javascript",1.8,PhD,False,Data Scientist
"pandas, statistics, r, python, data visualization, product strategy, c++, html",14.1,PhD,False,Data Scientist
"java, databases, sql, databases, a/b testing, security compliance, r",11.4,PhD,True,Cybersecurity Analyst
"data modeling, statistics, data mining, ui frameworks, agile",5.7,PhD,False,Data Analyst
"c++, debugging, algorithms, python, ci/cd, reporting",1.2,High School,True,Software Engineer
"nosql, caching, python, authentication, java, a/b testing, statistics",9.5,Master,False,Backend Developer
"siem, firewall, security, penetration testing, design thinking, docker",9.1,Master,False,Cybersecurity Analyst
"hypothesis testing, machine learning, tensorflow, ci/cd, switching",1.2,Bachelor,False,Data Scientist
"big data, scikit-learn, tensorflow, rest apis, angular",1.4,Bachelor,True,Data Scientist
"java, databases, microservices, nosql, security, caching, graphql, business intelligence, troubleshooting, javascript, dns",4.5,High School,True,Backend Developer
"competitive analysis, jira, communication, stakeholder management, terraform, angular",1.1,High School,True,Software Engineer
"penetration testing, ethical hacking, risk management, security compliance, security auditing, firewall, threat intelligence, data cleaning, networking",13.6,Bachelor,True,Cybersecurity Analyst
"power bi, python, data cleaning, cisco",9.9,PhD,False,Data Analyst
"databases, python, rest apis, java, sql, machine learning, ui frameworks, excel, monitoring",6.8,Bachelor,False,Backend Developer
"information architecture, design thinking, prototyping, user research, accessibility, golang, data mining",2.5,High School,False,UX Designer
"azure, terraform, python, networking, shell scripting, wan",3.1,Bachelor,True,DevOps Engineer
"object-oriented programming, data structures, git, python, debugging, docker, data visualization, nosql, monitoring",9.8,PhD,False,Software Engineer
"competitive analysis, a/b testing, roadmapping, jira, communication, presentation skills, a/b testing, react",4.3,PhD,False,Product Manager
"communication, product strategy, project management, agile, business intelligence",6.5,High School,False,Product Manager
"golang, authentication, databases, numpy, python",6.0,High School,False,Backend Developer
"javascript, vue, react, typescript, html, css, pandas, c++, statistics",4.7,Master,True,Frontend Developer
"shell scripting, linux, infrastructure as code, monitoring, jenkins, ci/cd, python, javascript, business intelligence, data visualization",1.2,Master,False,DevOps Engineer
"a/b testing, competitive analysis, market research, jira, presentation skills, leadership, subnetting, shell scripting, ruby, jest",3.3,Master,False,Product Manager
"networking, ci/cd, monitoring, terraform, azure, aws, jenkins, security architecture, stakeholder management",0.3,Master,False,DevOps Engineer
"security, graphql, c#, sql, node.js, presentation skills, jenkins, redux, firewall",0.9,PhD,False,Backend Developer
"market research, stakeholder management, competitive analysis, roadmapping, forecasting, css, ruby, caching",9.5,Bachelor,True,Product Manager
"ruby, c#, sql, java, golang, python, microservices, siem, a/b testing, statistics",1.1,Bachelor,True,Backend Developer
"ruby, php, node.js, c#, authentication, statistics",3.4,Master,False,Backend Developer
"kubernetes, azure, jenkins, networking, infrastructure as code, penetration testing, networking, databases",3.0,Bachelor,False,DevOps Engineer
"user stories, product strategy, roadmapping, presentation skills, leadership, stakeholder management, scrum, vpn, a/b testing, algorithms",6.3,PhD,True,Product Manager
"interaction design, sketch, adobe xd, usability testing, information architecture, security",10.5,High School,False,UX Designer
"java, cloud computing, api development, agile, debugging, algorithms, dhcp, lan, accessibility",9.3,Bachelor,True,Software Engineer
"algorithms, agile, data structures, testing, javascript, pandas",8.5,PhD,True,Software Engineer
"business intelligence, statistics, python, excel, data modeling, tableau, docker, wireframing",4.4,Master,False,Data Analyst
"sketch, wireframing, css, html, leadership, tcpip",1.2,Bachelor,True,UX Designer
"authentication, nosql, graphql, sass, javascript, accessibility",10.1,Master,False,Backend Developer
"c#, security, sql, databases, graphql, node.js, html, vpn, kubernetes, javascript",4.9,Bachelor,True,Backend Developer
"vulnerability assessment, security compliance, ethical hacking, risk management, siem, security, business intelligence, adobe xd, sketch",12.3,Bachelor,True,Cybersecurity Analyst
"vpn, troubleshooting, routing, lan, network monitoring, debugging, accessibility, market research, prototyping",3.3,Master,True,Network Engineer
"siem, threat intelligence, risk management, vulnerability assessment, lan, azure, terraform",0.5,PhD,False,Cybersecurity Analyst
"jira, stakeholder management, user stories, roadmapping, agile, wan, microservices, prototyping, agile",9.8,PhD,True,Product Manager
"tcpip, dhcp, subnetting, wan, jenkins, html, authentication, cloud computing",3.1,Bachelor,True,Network Engineer
"sql, scikit-learn, data visualization, deep learning, numpy, python, data modeling",9.1,Bachelor,True,Data Scientist
"security auditing, vulnerability assessment, siem, cryptography, penetration testing, product strategy, tensorflow",6.8,Master,True,Cybersecurity Analyst
"firewall, security architecture, risk management, cryptography, threat intelligence, vulnerability assessment, security auditing, scikit-learn",8.5,Bachelor,False,Cybersecurity Analyst
"sql, data visualization, tableau, excel, data mining, data cleaning, analytics, sketch",9.0,Master,True,Data Analyst
"tensorflow, scikit-learn, pytorch, kubernetes, penetration testing, javascript, jest",0.4,High School,True,Data Scientist
"microservices, security, sql, node.js, databases, deep learning, tableau",12.6,Master,False,Backend Developer
"siem, security compliance, incident response, threat intelligence, risk management, ethical hacking, sass, html, pandas",2.3,PhD,True,Cybersecurity Analyst
"microservices, sql, nosql, security, python, rest apis, ruby, dashboards",14.9,Master,False,Backend Developer
"infrastructure as code, python, docker, ansible, terraform, security, data visualization, authentication",9.3,PhD,True,DevOps Engineer
"network security, dns, troubleshooting, switching, routing, vpn, lan, analytics, usability testing, prototyping",9.7,PhD,True,Network Engineer
"authentication, java, caching, ruby, golang, python, product strategy, power bi, python",1.3,Master,False,Backend Developer
"user research, accessibility, css, wireframing, design thinking, ansible, python, python",2.1,Bachelor,False,UX Designer
"data mining, forecasting, r, r",5.6,Master,True,Data Analyst
"user stories, jira, market research, presentation skills, leadership, roadmapping, business intelligence, data visualization",3.5,Bachelor,True,Product Manager
"terraform, networking, kubernetes, security, ci/cd, shell scripting, python, risk management, python, security architecture, data visualization",6.8,Bachelor,True,DevOps Engineer
"business intelligence, dashboards, data modeling, r, reporting, python, excel, communication",8.7,Bachelor,True,Data Analyst
"interaction design, prototyping, wireframing, information architecture, user research, usability testing, figma, typescript, lan, jenkins, data modeling",2.2,PhD,True,UX Designer
"c#, authentication, caching, nosql, sql, debugging, security, presentation skills",5.4,Bachelor,False,Backend Developer
"excel, python, sql, reporting, data cleaning, data modeling, power bi, market research, tensorflow, product strategy, a/b testing",12.4,Bachelor,True,Data Analyst
"shell scripting, kubernetes, python, jenkins, terraform, aws, ci/cd, graphql, responsive design",8.1,PhD,True,DevOps Engineer
"incident response, security architecture, firewall, security auditing, risk management, ethical hacking, information architecture, stakeholder management, sketch, docker",1.6,High School,False,Cybersecurity Analyst
"aws, terraform, security, kubernetes, adobe xd, dhcp, jest",5.3,High School,False,DevOps Engineer
"linux, terraform, python, design thinking, webpack",2.6,High School,False,DevOps Engineer
"adobe xd, user research, wireframing, design thinking, visual design, siem, security compliance, project management",11.0,High School,True,UX Designer
"data visualization, data cleaning, python, forecasting, data mining, data modeling, tableau, sass, azure",8.9,Master,True,Data Analyst
"power bi, r, dashboards, reporting, security, security, debugging, databases",6.8,Bachelor,True,Data Analyst
"browser compatibility, css, vue, javascript, python, security, python, security auditing",10.7,Master,True,Frontend Developer
"pytorch, deep learning, numpy, machine learning, c++, data cleaning, terraform, caching",8.0,Master,False,Data Scientist
"tensorflow, a/b testing, numpy, hypothesis testing, statistics, dashboards, debugging",4.2,Master,False,Data Scientist
"infrastructure as code, linux, python, ci/cd, ansible, security, azure, jest, node.js, data modeling",1.5,Bachelor,True,DevOps Engineer
"sql, r, forecasting, python, dashboards, reporting, competitive analysis, monitoring, machine learning, golang",0.2,Bachelor,False,Data Analyst
"cloud computing, algorithms, git, python, wireframing, react",1.8,Master,False,Software Engineer
"sql, r, a/b testing, data visualization, networking",7.0,Bachelor,True,Data Scientist
"adobe xd, html, figma, interaction design, css, penetration testing",1.7,High School,True,UX Designer
"network security, vpn, routing, dhcp, firewalls, network monitoring, javascript, ci/cd, cloud computing",13.0,High School,False,Network Engineer
"terraform, jenkins, docker, shell scripting, ci/cd, kubernetes, deep learning, agile, data visualization",1.2,Master,False,DevOps Engineer
"data structures, c++, testing, wan",7.9,Master,False,Software Engineer
"scrum, market research, agile, user stories, data cleaning, python, cryptography, security",9.5,Bachelor,False,Product Manager
"leadership, market research, roadmapping, competitive analysis, presentation skills, accessibility, python",0.9,Master,True,Product Manager
"microservices, java, python, c#, nosql, node.js, ruby, statistics, stakeholder management, sass, subnetting",5.5,Master,True,Backend Developer
"wan, cisco, dns, subnetting, routing, troubleshooting, machine learning",10.2,High School,True,Network Engineer
"docker, python, infrastructure as code, security, linux, networking, shell scripting, pandas, java",9.8,Bachelor,False,DevOps Engineer
"golang, databases, microservices, php, rest apis, java, security, monitoring, responsive design, networking",3.6,PhD,True,Backend Developer
"vulnerability assessment, security auditing, firewall, security compliance, incident response, security, angular, python, golang",8.1,PhD,False,Cybersecurity Analyst
"project management, presentation skills, jira, stakeholder management, leadership, tcpip, agile, monitoring, caching",1.0,Bachelor,False,Product Manager
"firewall, security auditing, incident response, vulnerability assessment, communication, sass, python",5.0,PhD,True,Cybersecurity Analyst
"microservices, c#, node.js, authentication, caching, reporting",8.5,High School,True,Software Engineer
"microservices, testing, object-oriented programming, c++, python, git, incident response",1.8,High School,True,Software Engineer
"wan, lan, vpn, dns, sql, ci/cd, ethical hacking, jira",0.2,PhD,True,Network Engineer
"java, php, sql, caching, routing, statistics",0.5,PhD,False,Backend Developer
"information architecture, figma, user research, data structures, python, networking, security",9.3,High School,True,UX Designer
"jest, react, redux, html, vue, webpack, angular, hypothesis testing, ethical hacking, power bi",3.7,Bachelor,False,Frontend Developer
"sass, redux, vue, angular, webpack, security architecture, javascript, c++",6.7,Bachelor,False,Frontend Developer
"security architecture, security auditing, penetration testing, siem, cryptography, risk management, threat intelligence, security, firewalls, azure",1.6,Bachelor,True,Cybersecurity Analyst
"cloud computing, api development, c++, databases, a/b testing, ui frameworks",9.2,PhD,False,Software Engineer
"user flows, html, accessibility, numpy, redux",5.1,PhD,True,Software Engineer
"data cleaning, r, data mining, data modeling, excel, forecasting, tensorflow, testing",1.0,Bachelor,False,Data Analyst
"jira, user stories, roadmapping, analytics, terraform",0.0,Bachelor,False,Product Manager
"security architecture, security compliance, siem, incident response, security auditing, cryptography, firewall, ci/cd, scikit-learn",4.8,Bachelor,True,Cybersecurity Analyst
"pytorch, python, sql, tensorflow, deep learning, network security",6.8,PhD,True,Data Scientist
"javascript, vue, sass, interaction design, market research",2.6,PhD,False,Frontend Developer
"python, php, nosql, graphql, java, authentication, ruby, wireframing, react, market research, api development",5.2,Master,False,Backend Developer
"git, javascript, cloud computing, testing, c++, python, node.js, risk management, monitoring, security",9.2,Master,True,Software Engineer
"firewall, cryptography, threat intelligence, incident response, penetration testing, security architecture, jest, dhcp",4.0,Bachelor,True,Cybersecurity Analyst
"python, sql, statistics, r, machine learning, a/b testing, data visualization, rest apis, design thinking",11.8,PhD,True,Data Scientist
"vpn, network monitoring, cisco, switching, lan, dns, power bi",0.6,Master,True,Network Engineer
"node.js, golang, java, nosql, c#, databases, hypothesis testing",10.2,High School,False,Backend Developer
"php, security, rest apis, figma",3.2,High School,True,Backend Developer
"machine learning, big data, python, pytorch, scikit-learn, node.js, infrastructure as code, data modeling",7.1,Bachelor,False,Data Scientist
"python, git, agile, c++, cloud computing, api development, debugging, statistics",13.1,High School,False,Software Engineer
"angular, webpack, react, golang",0.4,High School,False,Frontend Developer
"databases, debugging, javascript, algorithms, git, docker, deep learning, vpn, python",1.7,Master,False,Software Engineer
"jest, typescript, sass, responsive design, html, javascript, accessibility, firewall, incident response, sql",6.8,Master,True,Frontend Developer
"data visualization, python, business intelligence, data cleaning, object-oriented programming, penetration testing",0.6,High School,True,Data Analyst
"golang, graphql, java, threat intelligence, cryptography, leadership, incident response",13.2,Bachelor,False,Backend Developer
"browser compatibility, angular, responsive design, sass, jest, java",1.9,PhD,False,Frontend Developer
"caching, security, c#, node.js, sql, jenkins, agile, responsive design, security",7.1,PhD,False,Backend Developer
"responsive design, typescript, ui frameworks, webpack, javascript, python, dns, competitive analysis, pytorch",1.1,High School,True,Frontend Developer
"golang, nosql, authentication, python, ruby, pandas, agile",5.1,PhD,True,UX Designer
"rest apis, security, java, authentication, graphql, node.js, python, agile, dhcp",3.5,Master,True,Backend Developer
"sql, r, machine learning, deep learning, adobe xd",1.5,Bachelor,True,Data Scientist
"project management, competitive analysis, roadmapping, docker, figma, statistics",13.8,Bachelor,False,Product Manager
"reporting, sql, data visualization, tableau, excel, user flows, visual design, networking, javascript",8.4,PhD,False,Data Analyst
"java, debugging, databases, object-oriented programming, python, cloud computing, algorithms, ansible, wireframing, html",3.1,Master,True,Software Engineer
"azure, terraform, ci/cd, infrastructure as code, incident response, javascript, databases",3.8,Master,False,Frontend Developer
"ethical hacking, cryptography, security, risk management, redux",3.7,Master,True,Backend Developer
"stakeholder management, communication, jira, scrum, competitive analysis, leadership, ruby",1.0,Bachelor,True,Product Manager
"tableau, business intelligence, data modeling, r, sql, adobe xd, python",1.1,High School,True,Data Analyst
"siem, penetration testing, ethical hacking, security architecture, incident response, firewall, adobe xd, sql, tableau",8.3,High School,False,Cybersecurity Analyst
"vulnerability assessment, security, ethical hacking, security auditing, cryptography, firewall, usability testing",5.0,Bachelor,True,Cybersecurity Analyst
"responsive design, ui frameworks, typescript, html, monitoring, jenkins",0.5,PhD,True,Frontend Developer
"wan, dhcp, routing, firewalls, stakeholder management, visual design, microservices",11.9,High School,False,Network Engineer
"agile, git, java, vpn, responsive design, kubernetes",0.9,High School,False,Software Engineer
"cloud computing, c++, api development, git, user flows, redux, c#, jest",9.3,Bachelor,False,Software Engineer
"authentication, graphql, golang, caching, security, rest apis, networking, threat intelligence",7.3,High School,False,Backend Developer
"golang, microservices, node.js, nosql, java, php, presentation skills, product strategy, firewall, user flows",13.8,High School,True,Backend Developer
"angular, css, typescript, accessibility, html, shell scripting, data visualization, data cleaning",1.1,High School,False,Frontend Developer
"lan, cisco, dhcp, switching, troubleshooting, browser compatibility, infrastructure as code, ci/cd",13.3,Bachelor,True,Network Engineer
"python, deep learning, numpy, tensorflow, r, ethical hacking, shell scripting",11.0,High School,False,Data Scientist
"prototyping, css, interaction design, html, accessibility, infrastructure as code",5.4,High School,False,UX Designer
"data modeling, excel, data cleaning, reporting, product strategy, sketch",9.4,PhD,True,Data Analyst
"user research, visual design, interaction design, sketch, usability testing, information architecture, redux, cryptography, a/b testing, sql",2.3,High School,False,UX Designer
"dns, vpn, routing, network security, troubleshooting, networking, firewalls, object-oriented programming, figma",11.4,High School,False,Network Engineer
"dashboards, python, reporting, statistics, data modeling, product strategy, information architecture, microservices, security architecture",8.3,PhD,True,Data Analyst
"microservices, graphql, authentication, node.js, golang, databases, analytics, competitive analysis, redux, scikit-learn",6.0,Bachelor,True,Backend Developer
"python, kubernetes, aws, azure, docker, css, microservices, user stories",1.8,PhD,True,DevOps Engineer
"competitive analysis, scrum, a/b testing, roadmapping, product strategy, leadership, ansible, redux, python",2.6,Bachelor,False,Product Manager
"machine learning, deep learning, hypothesis testing, pytorch, information architecture, ui frameworks, html, monitoring",4.1,PhD,True,Data Scientist
"r, excel, reporting, security, prototyping, css",6.8,Bachelor,False,Data Analyst
"algorithms, cloud computing, debugging, databases, c++, data structures, testing, figma, user research, azure, data mining",10.5,Bachelor,True,Software Engineer
"sql, rest apis, nosql, visual design, monitoring, javascript",3.2,PhD,True,Backend Developer
